Sentences,Frame
He was showered with fabulous jewels by the maharajahs . ,Leadership
The weight of the biggest tiger shot by the Maharaja of Nepal was 705 lb ( 320 kg ) . ,Leadership
"I also took care to make this little scene , in the way that I have described , appear to be part simply of an illustration of the appalling character of the Maharajah . ",Leadership
It was at Forster 's suggestion that Ackerley spent five months in India as companion-secretary to the eccentric Maharajah of Chhatarpur . ,Leadership
The Maharajah sent over £200 to the village to celebrate her survival of an assassination attempt . ,Leadership
There are indeed cases of leaders of aboriginal groups offering to pay yasak . ,Leadership
"He had arrived late with other NICRA leaders from Belfast , and seeing the march moving off , he ran to its head . ",Leadership
"It was launched outside the church of St Martin-in-the , Trafalgar Square , by Reynaldo Maraqueo , a Mapuche Indian community leader from southern Chile . ",Leadership
Since Major is the first government leader from an EC country to have visited Clinton in the White House he might just have considered tackling them head on . ,Leadership
The tribal leaders who visited Mr Mandela have also met the top ANC leaders in Zambia . ,Leadership
"Every Sunday , the huge congregation , gathered in the Ulster Hall , heard either Mrs Paisley or one of the ministers read out a message from their leader in prison . ",Leadership
"I had been a gang leader in Harehills -- first administering the lives of younger children , then by brass , bossiness and imagination extending judgement even over older boys . ",Leadership
"Chamoun was leader of his own National Liberal Party , which at that time included a number of conservative Shia and Sunni political leaders . ",Leadership
"In Italy , the leader of the Socialists called this week for the dissolution , in effect , of his own party into a new left-wing alliance with the ex-communists . ",Leadership
"` I am the leader of the forty-five members of the Bulgarian Monarchist Front , "" he said . ",Leadership
"Coun Pearson , who is leader of the Conservatives on Cleveland County Council , was speaking on proposals to ban artificial flowers , pot plants and plaques from the premises . ",Leadership
"Last month , Iran 's new leader , President Hashemi Rafsanjani , offered to work for the release of the American hostages held by Islamic extremists in Lebanon along with 10 other foreigners . ",Leadership
"Bothwell 's men had to carry their leader back to Hermitage , where he was greeted by the mortifying news that the prisoners had overpowered their guards and taken charge of the castle . ",Leadership
"However , its leaders were alienated by Larkin 's erratic , offensive , and aggressive behaviour and , after much acrimony , withdrew their support . ",Leadership
NURSES ' leaders yesterday accused the media of carrying out a witch hunt in exposing health workers with the AIDS virus . ,Leadership
"The party 's deputy leader , Donald McKinnon , immediately resigned as defence spokesperson in protest over the volte face . ",Leadership
Her arrest was attributed to her village leader 's opposition to the state ruling party . ,Leadership
"This latest open letter from the rebel leader , cashiered Colonel Gregorio Honason appears to confirm the government 's belief that he no longer has the ability to launch another military uprising . ",Leadership
"One of the Khmer Rouge leaders , Khieu Samphan was in Beijing last week , discussing China 's future support . ",Leadership
On Tuesday union leaders claimed that every French customs post along the Spanish border was closing to all traffic except private cars . ,Leadership
She was replaced as party leader by Senator Janet Powell . ,Leadership
The formation of a government can literally hang on the defection of one of these religious leaders to one party or the other . ,Leadership
"In this respect , it would be helpful if our political leaders were mute , rather than eloquently `` concerned .",Leadership
"On 19 December 2003 , Libyan leader Col. Muammar Qadhafi publicly confirmed his commitment to disclose and dismantle WMD programs in his country following a nine-month period of negotiations with US and UK authorities . ",Leadership
"While several Iranian leaders felt that developing a CW program would counteract the Iraqi threat and prove to be a strong deterrent , others within the clerical Islamic regime publicly condemned any use of chemicals on moral grounds , calling them un - Islamic .",Leadership
"In February 2003 , Iranian leaders announced a new plan to develop a nuclear energy plan using entirely domestic resources .",Leadership
"This week , the government arrested Jose Abello Silva , said to be the fourth - ranking cartel leader .",Leadership
"Mohammed Mohaddesin , leader of the Iran with IAEA",Leadership
"The Islambouli Brigades is named after Lt . Khaled Islambouli , the leader of a group of militant Islamists who assassinated Sadat during a 1981 military parade in Cairo .",Leadership
"Although nuclear weapons were never used in Korea , American political leaders and military commanders threatened to use nuclear weapons to end the Korean War on terms favorable to the United States .",Leadership
"The cabinet and the Academy of Sciences were given operational and administrative oversight of the nuclear facilities , but ultimate control of the program and decisions over weapons development belonged to North Korean leader Kim Il Sung .",Leadership
Libyan leader Muammar Qadhafi has shown that he is willing and capable of using chemical weapons and missiles against his enemies .,Leadership
The lack of a universally accepted definition of terrorism has allowed political leaders to manipulate the term for propaganda purposes .,Leadership
"In a province rife with rebellion and retaliation , the execution in Jerusalem of yet another religious leader from the Galilee did not by itself have an immediate effect on history .",Leadership
"In 1099 , under their leaders Godfrey de Bouillon and Tancred , the Crusaders captured the Holy City for Christendom by slaughtering both Muslims and Jews .",Leadership
"He was followed in 336 b.c. by his son Alexander the Great , one of the most remarkable leaders in history .",Leadership
"In 1855 , Mormon leader Brigham Young responded to promising reports of Las Vegas by sending 30 missionary settlers to the valley ; they eventually built a fort not far from today 's Downtown .",Leadership
"Translator : Hamas will not drop our weapons , even if all leaders are assassinated .",Leadership
"Reporter : Since the second Intifada began in 2000 , over 700 Israelis have been killed , during the same time there have been more than 2,000 Palestinian deaths according to the Red Crescent , including Hamas leaders targeted for assassination .",Leadership
"You know , leaders have to do things",Leadership
"This week , the government arrested Jose Abello Silva , said to be the fourth-ranking cartel leader .",Leadership
Republican leader Bill Frist said the Senate was hijacked .,Leadership
Ed_Henry : Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq .,Leadership
Ed_Henry : Republican leader Bill Frist was enraged .,Leadership
Bill_Frist : Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution .,Leadership
"Requirements of joining AL QAEDA : 1 - Abiding by AL QAEDA rules , its beliefs and objectives as previously mentioned 2 - Obedience to the leaders in charge as much as possible , without disobeying Islamic rules 3 - No connection between AL QAEDA membership and any other Islamic group 4 - Maintain secrecy in work-related issues 5- Physically healthy ( except in administrative work ) 6- The candidate should not be in question when it comes to religion , integrity or his morality 7- Reciting the pledge of AL-QAEDA .",Leadership
"Matters subject to pledge are either legitimate or permissible duties , legitimate duties like Jihad and obedience to leaders is first in importance .",Leadership
The second is the leaders of the Islamic Party and mosques speakers .,Leadership
"They even announced it , then our brothers attacked the field leader , the brain behind people revolting at al-Anbar in AlbuFahd .",Leadership
"A former Confucian temple is presently the home of the historic National Peasant Movement Institute , where the Chinese Communist Party trained its leaders in the 1920s .",Leadership
"Morsi and other Brotherhood leaders were arrested Jan. 28 and held in the Wadi Natroun prison north of Cairo , until they escaped two days later .",Leadership
"If you decide to do this , Karl Franz is the general of your army and therefore replaces the general described in the main army list . ",Leadership
Magnus is the general of your army and therefore replaces the general described in the main army list . ,Leadership
"Prince Khalid Bin Sultan , the Saudi general in command of the Arab and Islamic forces facing Iraq , is said to have turned pale when Egyptian commandos devoured live chickens and rabbits in a show of bravado . ",Leadership
"Mertseger 's father , the general in command of cavalry , was a stocky man like Huy . ",Leadership
The colonel set off for the airport with the general in custody . ,Leadership
"A great general shows his mastery by attaining the object of his campaign by sagacious and sure manoeuvres , without incurring any risk . "" ",Leadership
"At the end , the Roman general Titus laid siege to Jerusalem in a.d. 70 , finally attacking its starved and weakened defenders .",Leadership
"Following Alexander 's death , his lands were divided among his generals .",Leadership
"The Visigothic settlement in Aquitaine is usually seen as proof of the success of the Roman general Constantius , in blockading Wallia and his people when they were in Spain .",Appellations
Retired Air Force general Richard V. Secord was sentenced to two years ' probation on Jan. 24 for his role as one of the principal participants in the Iran-contra scandal .,Appellations
"Reserve general Ori Orr , chairman of parliament 's foreign affairs and defence committee , told army radio : ` In this case people apparently killed a man and put him on trial before he was accused . """,Appellations
GENERAL Manuel Antonio Noriega yesterday accused the US of planning and supporting Tuesday 's failed coup to topple Panama 's resilient military leader .,Appellations
"He was killed in Transylvania at the Battle of Segesvár in 1849 , fighting with Kossuth 's armies under general Bem .",Appellations
"GENERAL ABDUL WAHEED , Pakistan 's army chief , has made a reluctant debut in politics .",Appellations
Auditor general Sir John Bourn will personally conduct the probe .,Appellations
"Although he deliberately affected a republican stance , in 27 BC Octavian effectively became emperor of Rome , taking the name Augustus . ",Leadership
"The British captured Eritrea , and on 5 May the Emperor of Abyssinia returned to Addis Ababa , five years after leaving it . ",Leadership
He had the unusual distinction of being decorated by the emperor of Japan with the Order of the Rising Sun ( class iv ) in 1891 for his work on the magnetic survey of Japan . ,Leadership
"Very little is known of his early life : Matthias Koops stated that he had ` for several years served in different distinguished military characters , under the late Emperor of Germany , and King of Prussia "" . ",Leadership
"The decretal letter "" Solite "" , addressed to Alexis , the emperor of Constantinople , outlined the pope 's function as an adviser of monarchs . ",Leadership
"This is quite appropriate because he is the Emperor of Turkey , and a mighty one at that . ",Leadership
"Two months after Unkiar-Skelessi , at Münchengrätz in Bohemia , he explained his Turkish policy to the Emperor of Austria and persuaded him to act as an additional guarantor of the integrity of the Ottoman lands . ",Leadership
In a singsong tone he translated the address into Annamese for his emperor . ,Leadership
"Only with some knowledge of their history could he hope to deal with these singular people , who believed implicitly that their emperors were descended from Solomon and Sheba . ",Leadership
` I want you to examine this act in which you propose we should conspire with the enemy against our emperor . ,Leadership
"According to the old Princess , she was the granddaughter of Fateh-ul-Mulk , the heir apparent of the last Mogul Emperor , Bahadur Shah Zafur II . ",Leadership
Had n't they hurled back the Mongols from their frontiers and defeated the invasion forces of the Sung and Ming emperors ? ,Leadership
"Barbarossa was crowned Emperor in Saint Peter 's Basilica , declaring that the Pope merely confirmed his existing right to imperial power , but opposed by the Roman citizens and surrounding Italian territories . ",Leadership
He saw the Emperor in person every third day . ,Leadership
"He was a diplomat of standing , carrying out negotiations with the Emperor Henry VI and with the Byzantine emperor in Constantinople . ",Leadership
"It is said that on one occasion Prince Napoleon accused the Emperor of having inherited ` nothing of the Great Emperor "" , to which Napoleon III replied ` Yes , the family "" . ",Leadership
"Almost simultaneous with the outbreak of the French revolution , the three Great Powers of East and Central Europe , the Tsar , the Austro-Hungarian Emperor and the King of Prussia , repartitioned Poland . ",Leadership
"He said he believed the Emperor was with the troops on the Brussels road , but he had not personally seen him . ",Leadership
1124 Count Mandred Skaven Slayer finally drives out the Skaven and is elected Emperor . ,Leadership
"For 60 years Jerusalem lay in ruins , until the Roman Emperor Hadrian ordered the city rebuilt as a Roman town dedicated to Jupiter .",Leadership
"Queen Helena , a devout Christian and the mother of Emperor Constantine the Great , made a pilgrimage to the Holy Land in 326 to identify the sites associated with Jesus 's life .",Leadership
"During the Sixth Crusade ( 1228 - 1229 ) , the Holy Roman Emperor Frederick II managed to secure Jerusalem for the Christians by negotiation .",Leadership
"It was n't until a.d. 330 , however , when the newly converted Emperor Constantine made Byzantium , renamed Constantinople , capital of his Eastern Empire that Christianity was assured of its dominant role in future Greek life .",Leadership
"He is a man of fifty , strong , active , with iron-gray hair , great bunched black eyebrows , the step of a deer and the air of an emperor - a fierce , masterful man , with a red-hot spirit behind his parchment face .",Leadership
"Hunter succeeded Phillipa Burrow as chairman at the Torquay convention , less than two weeks after his 30th birthday and only 10 years after leaving college in his native Edinburgh with a Higher National Diploma in communications studies . ",Leadership
Mr Cohen will become chairman of Neill and two Patricof appointees will join the board as executive directors . ,Leadership
"THE chairman of East Hampshire District Council , Elsa Bulmer , paid an informal visit to the children of Liphook Infant School last week . ",Leadership
"Like the vice-president , the chairman of the joint chiefs must keep his advice to the president secret . ",Leadership
"His motion is backed by Lionel Randall , last year 's chairman of the council . ",Leadership
"Meanwhile , Amex 's chairman , James Robinson , took an $800,000 cut in pay last year because of poor profits , leaving him with a miserly $1,798,077 . ",Leadership
"Our Chairman , Richard Newcombe , who has taken a particular interest in the museum , then spoke , welcoming the guests and thanking them for their support . ",Leadership
"SHARES in Wellcome collapsed 72p to 818p yesterday after the drug group 's Scottish chairman , Sir Alistair Frame , voiced concern at the current healthcare reform agenda . ",Leadership
"The reaction from Francois Curiel , Christie 's Deputy Chairman and head of the company 's French operations , was of guarded optimism . ",Leadership
"Late that Friday afternoon , Montague called his deputy chairman , Eric Goodwin , at his headquarters in London 's West End . ",Leadership
"AS festival chairman I was already very heartened , before a note had been played , to see a 60 strong orchestra assembling before an all-but capacity audience on Thursday . ",Leadership
"He was meeting the British Rail chairman , Sir Robert Reid , this morning to discuss prompt implementation of the 93 recommendations . ",Leadership
"Sir Michael became Chemicals Coordinator in 1976 , and was appointed director for North America in 1979 , also becoming Chairman and Chief Executive Officer of Unilever United States Inc . ",Leadership
"He served there for many years , ultimately becoming chairman . ",Leadership
"` I do n't think there 's any chance of Jamie becoming chairman , "" Damian drawled coolly , and flicked his piercing blue gaze to Rachel . ",Leadership
Seniority provides committee chairmen with an independent power base and helps to insulate them from control by party leaders and presidents . ,Leadership
Three managers and three chairmen in 18 months is a recipe for football disaster . ,Leadership
Most of the following information was obtained from replies to a letter from the Chairman to more than fifty correspondents in various parts of the world ( see Appendix 2.9 ) . ,Leadership
"That 's been the rule about sub-committee chairmen for as long as I can remember . "" ",Leadership
The chairman of one leading quoted company stated flatly that there was no sign of any recovery . ,Leadership
"Congress , I 've come to the rostrum today because , some weeks ago , as Chairman of er Grimsby Constituency Labour Party , this leaflet arrived on the desk of our office . ",Leadership
"Soon after Medeva was formed from these two diverse parents , Bernard Taylor joined as chairman . ",Leadership
Dorothy was a popular chairman who put in much hard work during her six years . ,Leadership
And the flamboyant Chelsea chairman announced that his 11-year marriage to wife Pam is over . ,Leadership
"A provisional committee was formed with Stafford Cripps as chairman , to hold unofficial conferences confined to local Party delegates at which this demand would be pressed . ",Leadership
"During 19-21 April 2004 , North Korean National Defense Commission Chairman Kim Jong Il visited China and reportedly told Chinese President Hu Jintao that `` the DRPK side will continue to adopt a patient and flexible manner and actively participate in the six - party talks process , and make its own contributions to the progress of the talks . ''",Leadership
"The chairman of the Department of Medicine at Sydney Hospital , John Graham , told a biosecurity workshop last week that he had appealed to the Federal Government to remove the hospital from state control and declare it a ' national security hospital ' .",Leadership
"William A Carter , Chairman Goodwill Industries Foundation",Leadership
Jack Dustman Board Member and Former Chairman,Leadership
Jack Dustman Chairman,Leadership
She then deprived the tsar of the special status he had enjoyed at Constantinople since 1833 . ,Leadership
In January 1862 he convinced the tsar of the need to permit Russian jurists to derive their reform plans from the examples of west European states . ,Leadership
"Had he known what advice was reaching the tsar in St Petersburg , his anxiety would have been greater still . ",Leadership
"Even at the end of 1857 , however , depicting the tsar as a committed reformer is unwise . ",Leadership
But the kaiser pleased the tsar by vetoing Prince Alexander 's return to the Bulgarian throne . ,Leadership
Yet revisionist work underlines the enormous difficulties that would have confronted even the most gifted of tsars in shoring up a rigidly conservative regime . ,Leadership
"The People 's Will , their most effective organization , drew the conclusion that the supreme goal must be to shake the regime by assassinating the tsar . ",Leadership
"In reality , the tsar proceeded with extreme caution . ",Leadership
"The Habsburgs thus tried to isolate the various movements of national autonomy from their peasant base , and the Russian tsar did the same in Poland . ",Leadership
It is the same severance which has placed the monarch in a situation constitutionally inexplicable and indefensible . ,Leadership
"` At that point Prince Philip told his wife that their eldest son was unsuitable to become monarch in the foreseeable future -- if ever , "" says a senior royal insider . "" ",Leadership
"` There was real genuine sadness for the death of this respected monarch in the staffroom that day . "" ",Leadership
"Queen Elizabeth is already the longest-serving monarch of the twentieth century , and may possibly be on the throne even longer than Victoria . ",Leadership
Ought Ulster not be ruled by the monarch of Scotland ? ,Leadership
"Aged twelve , living in France and betrothed to the dauphin , Mary was asserting her position as the adult reigning monarch of Scotland . ",Leadership
The present monarch of Great Britain has recently been the subject of criticism for failure to all make her collection readily available to her subjects . ,Leadership
"The athletic arrogant and handsome monarch of 1977 had been replaced by a sick , befuddled man who had no idea what was happening . ",Leadership
On his way he visited Rycote House in Oxfordshire to write a letter to his beloved monarch . ,Leadership
The men cheered their monarch as they marched past him . ,Leadership
"And the wealthiest woman in the country , shipping heiress CHRISTINE GOULANDRIS , is almost three times richer than the monarch with a fortune of £290 million . ",Leadership
"As relations between Edward II and Charles IV of France deteriorated in April 1324 , Queen Isabella was urged to use her influence with the French monarch by asking him to ` have regard for us and our children who are so close to him , and for the alliances between them , and especially for the alliance made in our own person , which all the world knows was concluded to nourish and sustain peace and love between the two kingdoms , and to prevent wars and disputes "" . ",Leadership
"Los Angeles County Supervisor Zev Yaroslavsky stated , `` Whether you live in a mobile home park or you live in an estate , when you lose your home it 's devastating . ''",Leadership
The experience of previous queens and empresses of France was not such as to reassure any possible candidates . ,Leadership
The Czar and Empress of Russia landed at Leith on 22nd September . ,Leadership
Ivan 's coronation is particularly relevant to our theme because we have an eye-witness account of the spectacle he and his Empress presented immediately afterwards . ,Leadership
In January 1858 an attempt was made to assassinate him as he drove with the Empress to the Opera in Paris . ,Leadership
In the Crimea he designed additions for the empress to her palace of Bakhtchi-Serai . ,Leadership
The experience of previous queens and empresses of France was not such as to reassure any possible candidates . ,Leadership
"The Empress , who lacked neither intelligence nor courage , immediately understood the import of what had happened . ",Leadership
"The Empress would receive word that she had made contact with Rainald , which would stay her vindictive hand for a while . ",Leadership
"Only a few places , such as the Bay of Naples and Capri , already established thanks to the patronage of the Russian Empress , were regarded as tolerable in the hot season . ",Leadership
The emperor and empress had foreseen and tried to forestall resentment on Louis the German 's part at the grant to Charles . ,Leadership
"In any case , there certainly is no lack of information available about the moguls of technology now as they all become our current pop icons .",Leadership
THE captain of a blazing tanker threatening an environmental disaster along the Spanish coast was interrogated by a judge yesterday . ,Leadership
"Mr Walton is a captain of a ship sailing in the ice flows of the Atlantic Ocean when he meets Frankenstein who is , at that point , searching for his hideous creation . ",Leadership
"MARK NICHOLAS has been re-appointed Hampshire captain for next season , ending speculation that he would be joining a Sunday newspaper as a cricket correspondent . ",Leadership
Graham Gooch has been confirmed as England 's captain for the winter tour of India . ,Leadership
"Freelance soldiers that they were , they depended upon their captains for recruitment , organisation , distribution of booty , and pay . ",Leadership
"This agent , who may or may not be affiliated with a freight forwarder , prepares the charter party bill of lading and gives it to the captain for his signature , subject to charter party conditions . ",Leadership
Colin will play at left back and is club captain for the season . ,Leadership
And he ended up as the port captain for Cunard in New York . ,Leadership
"He is a navy-brat , son of a captain in the surface fleet . ",Leadership
"A friend of mine , when he was a little boy , was travelling in a train with his father who was a captain in the navy . ",Leadership
"Bryan Robson , captain of Manchester United and England , gets a CBE alongside Finlay Calder , the captain of the British Lions ' rugby team . ",Leadership
Kurt Helborg is the Captain of the Reiksguard Knights and one of the Emperor Karl Franz 's most trusted military commanders . ,Leadership
"` At the moment Pierrot wants to be captain of a transatlantic liner and the twins are going to be purser and head steward . "" ",Leadership
Gray saved his money and is now half-owner and captain of a fine ship . ,Leadership
"The atmosphere is bad and British sailors could get caught up in the bad feeling if they went ashore , "" said the Ark Royal 's captain , John Brigstocke . ",Leadership
The first specks of light rain fell on Trent 's face as he looked up to see the motor yacht 's captain studying him from over the brilliantly-varnished taffrail . ,Leadership
It was one of the spaceport 's Security captains . ,Leadership
As an outside observer I was startled by the response -- a roar that would have drowned even the Parkhead faithful saluting their team captain clutching the Scottish Cup . ,Leadership
"Scene six , though , is a clear exception , and its confrontational atmosphere is reflected in the nature of Anderson 's interruptions of the Czech police captain . ",Leadership
"First , at the Public Records Office , I inspected the submarine captain 's report of proceedings of the Patrol in question . ",Leadership
"In addition he must be the team captain , strong and sympathetic . ",Leadership
"Under acting captain Neil Fairbrother , they managed 48 overs in the 205 minutes allowed for 55 overs . ",Leadership
Acting captain Alec Stewart also did his best to inspire his team to greater efforts with two brilliant diving catches and a smart stumping . ,Leadership
"In World War I he served in the Royal Army Medical Corps as temporary captain in charge of the base laboratory at Salonika ( 1916 ) , and later in Northern Ireland as bacteriologist ( 1918 ) . ",Leadership
"The captain had grabbed the hydrophone headset , listening for himself . ",Leadership
Both Carl and the Captain were too late . ,Leadership
In order to save it and its crew the captain decided that half of the passengers would have to be thrown overboard . ,Leadership
Led by American captain Tony Hanson they eventually lost before a capacity crowd . ,Leadership
South African captain Kepler Wessels has escaped punishment for allegedly hitting Indian skipper Kapil Dev with his bat during the one-day international on Wednesday .,Appellations
West Indies captain Richie Richardson is also high on the wanted list .,Appellations
"With World Cup captain Kevin Swords off touring with the Barbarians , 29-year-old flanker Mark Sawicki will serve as Eagle captain for the first time .",Appellations
SCOTLAND captain Paul McStay would have known more about Italy had his transfer seeking summer ended differently .,Appellations
Winning team captain Mike Kemp says : ` It was all good fun and every game was played in the right spirit .,Appellations
PROP forward Gary Pagel yesterday defended his part in the raking incident which forced captain Jean-Francois Tordo out of France 's tour of South Africa .,Appellations
"England are led by new captain Gary Havelock , of Bradford , with Poole 's Marvyn Cox , returning to his former track , their oldest rider at 27 .",Appellations
"Cottrell 's 82 left him in fifth place , along with Tim Paterson of Letherhead , with his Cheshire captain Phil Bailey of Caldy and another Cheshire player Gareth Bradley of Bramhall in a group on 302 .",Appellations
"STUART SURRIDGE , who has died aged 74 , was celebrated both as a manufacturer of cricket bats and equipment , and above all as a uniquely successful captain of Surrey County Cricket Club .",Appellations
"TONY WRIGHT is to be the new captain of Gloucestershire in an attempt to foster a happier , more integrated dressing-room and lift morale .",Appellations
